id_data,anno,mese
1,2023,12
2,2023,12
3,2023,12
4,2023,12
5,2023,12
6,2023,12
7,2023,12
8,2023,12
9,2023,12
10,2023,12
11,2023,12
12,2023,12
13,2023,12
14,2023,12
15,2023,12
16,2023,12
17,2023,12
18,2023,12
19,2023,12
20,2023,12
21,2023,12
22,2023,12
23,2023,12
24,2023,12
25,2023,12
26,2023,12
27,2023,12
28,2023,12
29,2023,12
30,2023,12
31,2023,11
32,2023,11
33,2023,11
34,2023,11
35,2023,11
36,2023,11
37,2023,11
38,2023,11
39,2023,11
40,2023,11
41,2023,11
42,2023,11
43,2023,11
44,2023,11
45,2023,11
46,2023,11
47,2023,11
48,2023,11
49,2023,11
50,2023,11
51,2023,11
52,2023,11
53,2023,11
54,2023,11
55,2023,11
56,2023,11
57,2023,11
58,2023,11
59,2023,11
60,2023,11
61,2023,10
62,2023,10
63,2023,10
64,2023,10
65,2023,10
66,2023,10
67,2023,10
68,2023,10
69,2023,10
70,2023,10
71,2023,10
72,2023,10
73,2023,10
74,2023,10
75,2023,10
76,2023,10
77,2023,10
78,2023,10
79,2023,10
80,2023,10
81,2023,10
82,2023,10
83,2023,10
84,2023,10
85,2023,10
86,2023,10
87,2023,10
88,2023,10
89,2023,10
90,2023,10
91,2023,10
92,2023,9
93,2023,9
94,2023,9
95,2023,9
96,2023,9
97,2023,9
98,2023,9
99,2023,9
100,2023,9
101,2023,9
102,2023,9
103,2023,9
104,2023,9
105,2023,9
106,2023,9
107,2023,9
108,2023,9
109,2023,9
110,2023,9
111,2023,9
112,2023,9
113,2023,9
114,2023,9
115,2023,9
116,2023,9
117,2023,9
118,2023,9
119,2023,9
120,2023,9
121,2023,9
122,2023,8
123,2023,8
124,2023,8
125,2023,8
126,2023,8
127,2023,8
128,2023,8
129,2023,8
130,2023,8
131,2023,8
132,2023,8
133,2023,8
134,2023,8
135,2023,8
136,2023,8
137,2023,8
138,2023,8
139,2023,8
140,2023,8
141,2023,8
142,2023,8
143,2023,8
144,2023,8
145,2023,8
146,2023,8
147,2023,8
148,2023,8
149,2023,8
150,2023,8
151,2023,8
152,2023,8
153,2023,7
154,2023,7
155,2023,7
156,2023,7
157,2023,7
158,2023,7
159,2023,7
160,2023,7
161,2023,7
162,2023,7
163,2023,7
164,2023,7
165,2023,7
166,2023,7
167,2023,7
168,2023,7
169,2023,7
170,2023,7
171,2023,7
172,2023,7
173,2023,7
174,2023,7
175,2023,7
176,2023,7
177,2023,7
178,2023,7
179,2023,7
180,2023,7
181,2023,7
182,2023,7
183,2023,7
184,2023,6
185,2023,6
186,2023,6
187,2023,6
188,2023,6
189,2023,6
190,2023,6
191,2023,6
192,2023,6
193,2023,6
194,2023,6
195,2023,6
196,2023,6
197,2023,6
198,2023,6
199,2023,6
200,2023,6
201,2023,6
202,2023,6
203,2023,6
204,2023,6
205,2023,6
206,2023,6
207,2023,6
208,2023,6
209,2023,6
210,2023,6
211,2023,6
212,2023,6
213,2023,6
214,2023,5
215,2023,5
216,2023,5
217,2023,5
218,2023,5
219,2023,5
220,2023,5
221,2023,5
222,2023,5
223,2023,5
224,2023,5
225,2023,5
226,2023,5
227,2023,5
228,2023,5
229,2023,5
230,2023,5
231,2023,5
232,2023,5
233,2023,5
234,2023,5
235,2023,5
236,2023,5
237,2023,5
238,2023,5
239,2023,5
240,2023,5
241,2023,5
242,2023,5
243,2023,5
244,2023,5
245,2023,4
246,2023,4
247,2023,4
248,2023,4
249,2023,4
250,2023,4
251,2023,4
252,2023,4
253,2023,4
254,2023,4
255,2023,4
256,2023,4
257,2023,4
258,2023,4
259,2023,4
260,2023,4
261,2023,4
262,2023,4
263,2023,4
264,2023,4
265,2023,4
266,2023,4
267,2023,4
268,2023,4
269,2023,4
270,2023,4
271,2023,4
272,2023,4
273,2023,4
274,2023,4
275,2023,3
276,2023,3
277,2023,3
278,2023,3
279,2023,3
280,2023,3
281,2023,3
282,2023,3
283,2023,3
284,2023,3
285,2023,3
286,2023,3
287,2023,3
288,2023,3
289,2023,3
290,2023,3
291,2023,3
292,2023,3
293,2023,3
294,2023,3
295,2023,3
296,2023,3
297,2023,3
298,2023,3
299,2023,3
300,2023,3
301,2023,3
302,2023,3
303,2023,3
304,2023,3
305,2023,3
306,2023,2
307,2023,2
308,2023,2
309,2023,2
310,2023,2
311,2023,2
312,2023,2
313,2023,2
314,2023,2
315,2023,2
316,2023,2
317,2023,2
318,2023,2
319,2023,2
320,2023,2
321,2023,2
322,2023,2
323,2023,2
324,2023,2
325,2023,2
326,2023,2
327,2023,2
328,2023,2
329,2023,2
330,2023,2
331,2023,2
332,2023,2
333,2023,2
334,2023,1
335,2023,1
336,2023,1
337,2023,1
338,2023,1
339,2023,1
340,2023,1
341,2023,1
342,2023,1
343,2023,1
344,2023,1
345,2023,1
346,2023,1
347,2023,1
348,2023,1
349,2023,1
350,2023,1
351,2023,1
352,2023,1
353,2023,1
354,2023,1
355,2023,1
356,2023,1
357,2023,1
358,2023,1
359,2023,1
360,2023,1
361,2023,1
362,2023,1
363,2023,1
364,2023,1
365,2022,12
